instance_id,source_row_1_based,org,dest,days,level,people_number,budget,local_constraint,constraint_signature,reference_size_quartile,reference_chars,reference_items,query
travelplanner_test_0276,276,Twin Falls,Utah,7,easy,1,3400,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,1,36916,194,"I need to plan a 7-day solo trip, departing from Twin Falls and visiting 3 different cities in Utah. The trip will span from March 23rd to March 29th, 2022. My budget for this trip is $3,400. Could you assist in planning this trip?"
travelplanner_test_0283,283,Orlando,Massachusetts,7,easy,1,5800,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,4,44321,231,"Can you assist in preparing a travel plan for one person? The journey, spanning 7 days, should start in Orlando and include visits to 3 cities in Massachusetts between the dates of March 22nd and 28th, 2022. The total budget for the trip is set at $5,800."
travelplanner_test_0288,288,New Orleans,Kentucky,7,easy,1,5500,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,1,35805,192,"Can you help plan a 7-day solo trip starting from New Orleans and covering 3 cities in Kentucky? The journey should take place from March 16th to March 22nd, 2022, and the travel budget is capped at $5,500."
travelplanner_test_0298,298,Kansas City,Arizona,7,easy,1,4300,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,2,39445,203,"I need assistance in creating a week-long travel plan for one person, starting from Kansas City and visiting 3 distinct cities in Arizona. The travel dates are from the 21st to 27th of March, 2022. The travel budget allocated for this trip is $4,300."
travelplanner_test_0317,317,Las Vegas,Wisconsin,7,easy,1,3800,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,2,37291,199,"Can you devise a week-long travel itinerary departing from Las Vegas and covering 3 cities in Wisconsin? The travel dates are from March 19th to March 25th, 2022. This trip is for a solo traveler with a budget of $3,800."
travelplanner_test_0324,324,Dallas,North Dakota,7,easy,1,4200,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,2,37754,205,"Can you assist with creating a travel schedule that spans 7 days, starting from March 3rd to March 9th, 2022, for a solo traveler? The journey begins in Dallas and involves visiting 3 different cities in North Dakota. The budget for this trip is set at $4,200."
travelplanner_test_0331,331,Punta Gorda,Iowa,7,easy,1,4900,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,1,35886,187,"I need a travel itinerary for a 7-day solo trip. The journey begins in Punta Gorda, with the destination being Iowa, and I plan to visit 3 different cities there. The trip dates are from March 5th to March 11th, 2022, with a set budget of $4,900."
travelplanner_test_0339,339,Columbus,North Carolina,7,easy,1,2800,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,4,42412,215,"Could you assist in creating a one-week travel plan for one person? The journey will be starting from Columbus and will include a visit to 3 different cities in North Carolina from March 1st to March 7th, 2022. The new budget available for this trip is $2,800."
travelplanner_test_0341,341,Everett,Oregon,7,easy,1,1600,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,2,39359,200,"Could you assist in creating a travel itinerary for an individual departing from Everett and heading to Oregon with a plan to visit 3 cities within a span of 7 days from March 9th to March 15th, 2022? The total available budget for this trip is $1,600."
travelplanner_test_0342,342,Dallas,Montana,7,easy,1,6500,"{""cuisine"": null, ""house rule"": null, ""room type"": null, ""transportation"": null}",budget_only,1,36581,192,"Can you help to generate a week-long travel plan for me alone? My trip will start in Dallas and I intend to visit 3 different cities in Montana from March 23rd to March 29th, 2022. My budget for this tour is $6,500."
travelplanner_test_0351,351,Baltimore,Syracuse,3,medium,2,2300,"{""cuisine"": null, ""house rule"": ""pets"", ""room type"": null, ""transportation"": null}",house rule,3,15550,81,"Please organize a travel itinerary for a 3-day trip from Baltimore to Syracuse for 2 people, visiting one city, from March 4th to March 6th, 2022. We have a budget of $2,300 for this trip. The places we stay should allow pets."
travelplanner_test_0354,354,Salt Lake City,New Orleans,3,medium,2,3100,"{""cuisine"": null, ""house rule"": ""smoking"", ""room type"": null, ""transportation"": null}",house rule,3,14206,74,"Can you assist with developing a 3-day trip plan for 2 people? We'll be leaving Salt Lake City and heading to New Orleans from March 1st to March 3rd, 2022. Our revised travel budget is $3,100. Additionally, we would like to stay in accommodations where smoking is allowed."
travelplanner_test_0357,357,Buffalo,Boston,3,medium,4,2400,"{""cuisine"": [""American"", ""French""], ""house rule"": null, ""room type"": null, ""transportation"": null}",cuisine,3,14523,77,"Help me draft a 3-day itinerary for 4 people traveling from Buffalo to Boston, spanning from March 4th to March 6th, 2022. Our budget is set at $2,400 and we are open to any sorts of accommodations. We'd ideally like to experience both French and American cuisines while we're there."
travelplanner_test_0358,358,Denver,Savannah,3,medium,2,2300,"{""cuisine"": [""American"", ""Italian""], ""house rule"": null, ""room type"": null, ""transportation"": null}",cuisine,1,12552,63,"Can you organize a 3-day trip for two people, departing from Denver and traveling to Savannah, commencing on March 14th and concluding on March 16th, 2022? Our budget is set to $2,300. As for meals, we prefer both Italian and American cuisine."
travelplanner_test_0359,359,Newark,San Francisco,3,medium,4,10900,"{""cuisine"": [""Chinese"", ""Italian""], ""house rule"": null, ""room type"": null, ""transportation"": null}",cuisine,4,17643,86,"Could you create a travel itinerary for a group of 4 leaving from Newark and visiting San Francisco for 3 days, from March 20th to March 22nd, 2022? We have a budget of $10,900 and prefer Chinese and Italian cuisines during our stay."
travelplanner_test_0362,362,San Francisco,Tucson,3,medium,2,2300,"{""cuisine"": [""Mexican"", ""French""], ""house rule"": null, ""room type"": null, ""transportation"": null}",cuisine,2,13539,70,"Please construct a three-day travel plan starting from San Francisco and heading to Tucson for two people. The trip will span from March 9th to March 11th, 2022, with a budget set to $2,300. During this trip, we would love to experience both Mexican and French cuisines."
travelplanner_test_0364,364,Myrtle Beach,Baltimore,3,medium,2,1800,"{""cuisine"": null, ""house rule"": null, ""room type"": ""shared room"", ""transportation"": null}",room type,4,17032,90,"Please create a travel plan for two people, originating from Myrtle Beach and heading to Baltimore. The trip should span 3 days, from March 9th to March 11th, 2022, on a budget of $1,800. We would prefer shared room accommodations for our stay."
travelplanner_test_0365,365,Memphis,Phoenix,3,medium,5,10500,"{""cuisine"": null, ""house rule"": null, ""room type"": ""private room"", ""transportation"": null}",room type,2,13487,68,"Could you help create a 3-day travel itinerary for a group of 5 from Memphis to Phoenix from the 18th to the 20th of March, 2022? We have a budget of $10,500 and would prefer to have private rooms for our accommodations."
travelplanner_test_0368,368,Las Vegas,Milwaukee,3,medium,3,7800,"{""cuisine"": null, ""house rule"": ""visitors"", ""room type"": null, ""transportation"": null}",house rule,2,12904,69,"Could you help me create a travel plan for a group of 3, departing from Las Vegas and visiting Milwaukee over 3 days from March 12th to March 14th, 2022? We have a budget of $7,800 and we require accommodations that allow visitors."
travelplanner_test_0369,369,Houston,Gunnison,3,medium,2,2000,"{""cuisine"": null, ""house rule"": ""smoking"", ""room type"": null, ""transportation"": null}",house rule,1,8789,51,"Could you devise a travel plan starting from Houston and heading to Gunnison? The trip is expected to be for 3 days, from March 1st to March 3rd, 2022, for 2 people. Our budget is set at $2,000. We require accommodations that allow smoking."
travelplanner_test_0370,370,Fort Dodge,Denver,3,medium,2,1200,"{""cuisine"": null, ""house rule"": null, ""room type"": ""not shared room"", ""transportation"": null}",room type,1,11099,57,"Could you design a three-day travel plan for two people, departing from Fort Dodge and heading to Denver on the dates of March 25th to March 27th, 2022? The accommodation preferences include non-shared rooms, with a total budget of $1,200."
travelplanner_test_0373,373,Missoula,Oakland,3,medium,6,10300,"{""cuisine"": null, ""house rule"": ""smoking"", ""room type"": null, ""transportation"": null}",house rule,1,11543,64,"Please help me arrange a 3-day trip departing from Missoula to Oakland from March 17th to March 19th, 2022 for a group of 6 people. We have a budget of $10,300 for this trip, and we require our accommodations to allow smoking."
travelplanner_test_0376,376,Montgomery,Dallas,3,medium,2,2500,"{""cuisine"": [""American"", ""Italian""], ""house rule"": null, ""room type"": null, ""transportation"": null}",cuisine,4,20247,113,"Could you assist with developing a 3-day travel plan for 2 people, initiating from Montgomery with Dallas as the destination? The trip is planned from March 25th to March 27th, 2022, and we've allocated a budget of $2,500 for this journey. We love Italian and American food, and we'd love recommendations for the best places to enjoy these cuisines."
travelplanner_test_0380,380,New York,Austin,3,medium,2,3000,"{""cuisine"": null, ""house rule"": null, ""room type"": ""not shared room"", ""transportation"": null}",room type,3,14398,77,"Could you create a 3-day travel plan for two people, starting in New York and heading to Austin? We are planning our journey to be from March 5th to March 7th, 2022. Our lodging preferences are rooms that are not shared with others. Our total budget for this trip is set at $3,000."
travelplanner_test_0387,387,Anchorage,Seattle,3,medium,2,3100,"{""cuisine"": null, ""house rule"": null, ""room type"": ""private room"", ""transportation"": null}",room type,4,20278,101,"Kindly make a 3-day travel itinerary for two persons departing from Anchorage and arriving in Seattle from the 2nd to the 4th of March, 2022. Our accommodation preference is private rooms. The budget for this trip is set at $3,100."
travelplanner_test_0390,390,Pocatello,Salt Lake City,3,medium,6,5800,"{""cuisine"": [""Chinese"", ""Mexican""], ""house rule"": null, ""room type"": null, ""transportation"": null}",cuisine,1,11608,58,"Can you assist in creating a 3-day travel itinerary for 6 people, starting from Pocatello and heading to Salt Lake City? The trip is scheduled from March 1st to March 3rd, 2022, and we have a budget of $5,800 to work with. During our stay, we would specifically love to try Mexican and Chinese cuisines."
travelplanner_test_0391,391,Fort Myers,Trenton,3,medium,8,8600,"{""cuisine"": [""Mexican"", ""Mediterranean""], ""house rule"": null, ""room type"": null, ""transportation"": null}",cuisine,1,12614,68,"Please create a 3-day travel plan for a group of 8, departing from Fort Myers and heading to Trenton, from March 20th to March 22nd, 2022. We enjoy Mediterranean and Mexican cuisines and have a budget of $8,600."
travelplanner_test_0394,394,Miami,Atlantic City,3,medium,2,800,"{""cuisine"": null, ""house rule"": null, ""room type"": ""private room"", ""transportation"": null}",room type,2,12892,66,"Please create a travel itinerary for a 3-day trip for 2 people, departing from Miami and heading to Atlantic City. The journey spans from March 23rd to March 25th, 2022. Our accommodations should be private rooms, and we have a budget of $800."
travelplanner_test_0402,402,Minneapolis,Miami,3,medium,7,9600,"{""cuisine"": [""Mediterranean"", ""French""], ""house rule"": null, ""room type"": null, ""transportation"": null}",cuisine,3,14529,78,"Could you construct a 3-day travel itinerary for a group of 7, beginning in Minneapolis and heading to Miami, from March 3rd to March 5th, 2022? We have set a budget of $9,600 for this trip. We would like to enjoy French and Mediterranean cuisine during our journey."
travelplanner_test_0404,404,Savannah,Charlotte,3,medium,2,2400,"{""cuisine"": null, ""house rule"": ""children under 10"", ""room type"": null, ""transportation"": null}",house rule,4,16466,83,"Could you design a 3-day trip itinerary for two people traveling from Savannah to Charlotte, starting from March 27th till March 29th, 2022, with a total budget of $2,400? Please ensure that our accommodations are kid-friendly as we will have children under 10 with us."
travelplanner_test_0408,408,Nashville,San Diego,3,medium,2,3900,"{""cuisine"": null, ""house rule"": null, ""room type"": ""not shared room"", ""transportation"": null}",room type,1,11685,60,"Please help plan a tour for two people departing from Nashville and heading to San Diego for 3 days, specifically from March 11th to March 13th, 2022, with a budget of $3,900. We would prefer accommodations where the rooms aren't shared with others."
travelplanner_test_0412,412,Little Rock,Atlanta,3,medium,8,13600,"{""cuisine"": null, ""house rule"": ""parties"", ""room type"": null, ""transportation"": null}",house rule,4,16241,86,"Could you prepare a 3-day travel itinerary, from March 12th to March 14th, 2022, for a group of 8 departing Little Rock with Atlanta as their destination? Our budget for this trip is set at $13,600. We require accommodations that allow parties."
travelplanner_test_0416,416,Belleville,Las Vegas,3,medium,2,1000,"{""cuisine"": null, ""house rule"": ""parties"", ""room type"": null, ""transportation"": null}",house rule,2,13045,63,"Could you help us design a travel plan that originates from Belleville, aiming at Las Vegas as the destination? We intend to keep our trip within 3 days, precisely from March 20th to March 22nd, 2022. We are a pair with a budget set at $1,000. Furthermore, we anticipate accommodations that permit parties."
travelplanner_test_0417,417,Dallas,Reno,3,medium,8,11600,"{""cuisine"": null, ""house rule"": ""visitors"", ""room type"": null, ""transportation"": null}",house rule,2,12947,73,"Can you provide a 3-day travel plan for a group of 8 departing from Dallas and heading to Reno from March 11th to March 13th, 2022? Our budget is $11,600. The accommodations should allow visitors."
travelplanner_test_0418,418,Kansas City,Los Angeles,3,medium,2,3200,"{""cuisine"": [""Indian"", ""French""], ""house rule"": null, ""room type"": null, ""transportation"": null}",cuisine,2,13961,70,"Could you organize a 3-day trip for 2 people starting from Kansas City and heading to Los Angeles? We plan to be there from March 17th to March 19th, 2022. Our budget for the trip is $3,200. As for the meals, we are particularly fond of French and Indian cuisines."
travelplanner_test_0419,419,La Crosse,Detroit,3,medium,6,2600,"{""cuisine"": null, ""house rule"": null, ""room type"": ""private room"", ""transportation"": null}",room type,1,12363,65,"We need a trip plan starting from La Crosse to Detroit for a duration of 3 days, from March 20th to March 22nd, 2022. The trip involves a group of 6 people and our budget is set at $2,600. Also, we require private rooms for accommodations."
travelplanner_test_0422,422,Reno,Portland,3,medium,3,3200,"{""cuisine"": [""Chinese"", ""Italian""], ""house rule"": null, ""room type"": null, ""transportation"": null}",cuisine,3,14620,74,"Could you assist in formulating a 3-day travel plan for a group of 3 people, departing from Reno and heading to Portland from March 19th to March 21st, 2022? Our budget is set at $3,200. Please consider our preference for Italian and Chinese cuisines when arranging our meals during the trip."
travelplanner_test_0424,424,Phoenix,Nashville,3,medium,6,10100,"{""cuisine"": null, ""house rule"": null, ""room type"": ""entire room"", ""transportation"": null}",room type,2,13183,64,"Could you help design a 3-day travel itinerary for a group of 6 people, departing from Phoenix and heading to Nashville to visit one city from March 27th to March 29th, 2022? Our budget is now set at $10,100, and we require accommodations with entire rooms."
travelplanner_test_0425,425,Green Bay,Orlando,3,medium,2,2100,"{""cuisine"": null, ""house rule"": ""parties"", ""room type"": null, ""transportation"": null}",house rule,2,12945,66,"Please assist in putting together a 3-day travel plan for a party of 2. We'll be departing Green Bay and heading to Orlando from March 1st to March 3rd, 2022. We're planning a budget of $2,100, and we're looking for accommodations that allow parties."
travelplanner_test_0431,431,Minneapolis,Buffalo,3,medium,7,3900,"{""cuisine"": null, ""house rule"": ""children under 10"", ""room type"": null, ""transportation"": null}",house rule,1,12162,65,"Could you put together a 3-day travel itinerary for a group of 7, departing from Minneapolis and heading to Buffalo? We intend to travel from March 24th to March 26th, 2022, and have a budget of $3,900. We'll be traveling with children under 10, so please ensure our accommodations allow kids of that age."
travelplanner_test_0436,436,Charleston,Indianapolis,3,medium,2,900,"{""cuisine"": null, ""house rule"": null, ""room type"": ""not shared room"", ""transportation"": null}",room type,3,14887,78,"Could you plan a trip for 2 from Charleston to Indianapolis, lasting for 3 days from March 19th to March 21st, 2022? We have a budget of $900 and would like to stay in accommodations that are not shared rooms."
travelplanner_test_0440,440,Charlotte Amalie,Atlanta,3,medium,3,6300,"{""cuisine"": [""American"", ""French""], ""house rule"": null, ""room type"": null, ""transportation"": null}",cuisine,3,14129,78,"Could you please create a 3-day travel itinerary for a group of 3, departing from Charlotte Amalie and arriving in Atlanta from the 9th to the 11th of March, 2022? The total travel budget is set at $6,300. As for our dining preferences, we would like to try French and American cuisines during our trip."
travelplanner_test_0442,442,New York,Cleveland,3,medium,6,6500,"{""cuisine"": [""Chinese"", ""Mexican""], ""house rule"": null, ""room type"": null, ""transportation"": null}",cuisine,4,18168,85,"Please help prepare a travel itinerary starting from New York to Cleveland for a group of 6. The trip should cover 3 days, from March 19th to March 21st, 2022. The budget for this trip is $6,500. During our stay, we would like to enjoy Mexican and Chinese cuisines."
travelplanner_test_0450,450,Sacramento,Honolulu,3,medium,7,15600,"{""cuisine"": null, ""house rule"": null, ""room type"": ""entire room"", ""transportation"": null}",room type,3,14602,76,"I need assistance in putting together a travel plan for a group of 7, leaving from Sacramento and heading to Honolulu. The trip will consist of 3 days, specifically from March 24th to March 26th, 2022. We have a budget of $15,600 for this excursion. For our accommodations, our preference is for entire rooms. Can you help out with this?"
travelplanner_test_0451,451,Austin,Oklahoma City,3,medium,2,2100,"{""cuisine"": null, ""house rule"": ""pets"", ""room type"": null, ""transportation"": null}",house rule,4,15802,78,"Could you create a travel plan for two people, departing from Austin to Oklahoma City for a 3-day trip from March 15th to March 17th, 2022, with a budget of $2,100? We are bringing our pet, and we need to stay in accommodations that allow pets."
